Category:,Congress,Bill Type,Bill Number,Vote Position
passage,113,hr,803,Nay
passage-suspension,113,hr,324,Yea
passage-suspension,113,hjres,72,Nay
passage-suspension,113,hr,1073,Yea
passage,113,hr,45,Nay
passage,113,hr,273,Nay
passage,113,hconres,15,Nay
passage,113,hr,2667,Yea
passage,113,hconres,25,Nay
passage-suspension,113,hjres,70,Nay
passage-suspension,113,hr,756,Yea
passage,113,hres,164,Nay
passage-suspension,113,hr,3205,Yea
passage-suspension,113,hr,507,Yea
passage,113,hres,385,Not Voting
passage,113,hres,66,Nay
passage,113,hr,933,Yea
passage-suspension,113,hres,65,Yea
passage,113,hres,300,Nay
passage-suspension,113,hjres,71,Nay
passage-suspension,113,hjres,91,Yea
passage,113,hres,122,Nay
passage-suspension,113,hr,1412,Yea
passage-suspension,113,hr,2611,Yea
passage-suspension,113,hr,2848,Yea
passage-suspension,113,hr,291,Yea
passage-suspension,113,hr,967,Yea
passage-suspension,113,hr,1341,Yea
passage,113,hres,202,Nay
passage-suspension,113,hr,2011,Yea
passage-suspension,113,hr,1163,Yea
passage-suspension,113,hr,253,Yea
passage-suspension,113,hr,3588,Yea
passage-suspension,113,hr,1911,Yea
passage-suspension,113,hr,3095,Yea
passage-suspension,113,hr,634,Yea
passage-suspension,113,hr,251,Yea
passage-suspension,113,hr,255,Yea
passage-suspension,113,hr,850,Yea
passage-suspension,113,hr,3547,Yea
passage,113,hres,266,Nay
passage-suspension,113,hr,862,Yea
passage-suspension,113,hr,1157,Yea
passage,113,hres,256,Nay
passage,113,hres,351,Nay
passage,113,hres,352,Nay
passage-suspension,113,hres,441,Yea
passage-suspension,113,hr,2600,Yea
passage-suspension,113,hr,2747,Yea
passage-suspension,113,hr,3092,Yea
passage,113,hres,361,Nay
passage,113,hr,2775,Nay
passage,113,hres,322,Nay
passage-suspension,113,hr,3521,Yea
passage-suspension,113,hr,3096,Not Voting
passage-suspension,113,hr,2449,Yea
passage,113,hres,366,Nay
passage,113,hres,339,Nay
passage-suspension,113,hr,1155,Yea
passage-suspension,113,hr,1896,Yea
passage-suspension,113,hr,1992,Yea
passage-suspension,113,hr,1402,Yea
passage,113,hres,438,Nay
passage-suspension,113,hr,1897,Yea
passage,113,hres,274,Yea
passage,113,hres,178,Yea
passage,113,hjres,79,Nay
passage-suspension,113,hr,360,Yea
passage-suspension,113,hr,2871,Yea
passage,113,hjres,85,Nay
