Category:,Congress,Bill Type,Bill Number,Vote Position
passage-suspension,112,hr,3477,Yea
passage,112,hr,3630,Yea
passage-suspension,112,hconres,105,Yea
passage-suspension,112,hr,3803,Yea
passage,112,hres,540,Yea
passage-suspension,112,s,679,Yea
passage,112,hr,436,Yea
passage-suspension,112,hr,4040,Yea
passage-suspension,112,hconres,118,Yea
passage,112,hr,2842,Yea
passage-suspension,112,hr,6429,Yea
passage-suspension,112,hr,1022,Yea
passage-suspension,112,hr,3835,Yea
passage-suspension,112,hconres,127,Yea
passage-suspension,112,hr,3001,Yea
passage-suspension,112,hr,347,Yea
passage-suspension,112,hconres,117,Yea
passage-suspension,112,hr,828,Yea
passage,112,hr,4089,Yea
passage-suspension,112,s,2039,Yea
passage,112,hres,563,Yea
passage-suspension,112,hr,3567,Yea
passage,112,hr,5854,Yea
passage-suspension,112,hr,5987,Nay
passage-suspension,112,hr,3801,Yea
passage-suspension,112,hr,4264,Yea
passage,112,hres,827,Yea
passage,112,hr,6429,Yea
passage-suspension,112,hr,6582,Yea
passage,112,hres,841,Yea
passage-suspension,112,hr,2072,Yea
passage-suspension,112,hr,3117,Yea
passage-suspension,112,hr,6443,Yea
passage-suspension,112,hr,3159,Yea
passage,112,hres,717,Yea
passage,112,hr,5326,Yea
passage-suspension,112,hr,6190,Yea
passage-suspension,112,s,925,Yea
passage,112,hres,706,Yea
passage-suspension,112,hr,3197,Yea
passage,112,hjres,98,Yea
passage-suspension,112,hr,4133,Yea
passage,112,hr,4348,Nay
passage-suspension,112,hr,6018,Nay
passage-suspension,112,s,3454,Yea
passage-suspension,112,hr,6726,Yea
passage-suspension,112,hr,915,Yea
passage-suspension,112,hr,5740,Yea
passage-suspension,112,hr,3783,Yea
passage,112,hr,6156,Yea
passage-suspension,112,s,3564,Yea
passage-suspension,112,hr,6364,Yea
passage-suspension,112,hr,6612,Yea
passage,112,hres,726,Yea
passage,112,hres,724,Yea
passage,112,hr,5972,Nay
passage-suspension,112,hr,3541,Yea
passage-suspension,112,hr,5997,Yea
passage-suspension,112,hr,205,Yea
passage-suspension,112,hr,6655,Nay
passage-suspension,112,hr,6621,Yea
passage,112,hres,656,Yea
passage-suspension,112,hr,6016,Yea
passage-suspension,112,hr,2453,Yea
passage,112,hres,537,Yea
passage,112,hr,658,Nay
passage-suspension,112,hr,4365,Yea
passage-suspension,112,hr,5044,Yea
passage-suspension,112,hr,5865,Nay
passage-suspension,112,s,404,Yea
passage,112,hr,2578,Yea
passage-suspension,112,hr,1339,Yea
passage,112,hres,631,Yea
passage-suspension,112,hr,459,Yea
passage,112,hr,9,Yea
passage-suspension,112,s,1134,Yea
passage,112,hr,5325,Yea
passage-suspension,112,hres,556,Yea
passage,112,hres,587,Yea
passage-suspension,112,hr,665,Yea
passage-suspension,112,hr,3857,Yea
passage-suspension,112,hres,750,Yea
passage,112,hr,3578,Yea
passage-suspension,112,hr,1162,Yea
passage-suspension,112,hr,2938,Yea
passage-suspension,112,hr,2453,Yea
passage-suspension,112,hr,3637,Yea
passage-suspension,112,hr,6168,Nay
passage,112,hres,562,Yea
passage,112,hres,597,Yea
passage-suspension,112,hr,2157,Yea
passage,112,hr,4281,Yea
passage-suspension,112,hr,2139,Yea
passage,112,hr,5949,Yea
passage-suspension,112,hr,3606,Yea
passage-suspension,112,hr,1815,Yea
passage-suspension,112,s,2038,Yea
passage-suspension,112,hr,6122,Yea
passage-suspension,112,hr,6186,Yea
passage,112,hres,522,Yea
passage,112,hres,691,Yea
passage,112,hconres,112,Yea
passage-suspension,112,hr,2096,Yea
passage-suspension,112,hr,1141,Nay
passage,112,hr,6684,Yea
passage-suspension,112,hr,5872,Yea
passage-suspension,112,hr,2070,Yea
passage-suspension,112,hr,4053,Yea
passage-suspension,112,s,2367,Yea
passage-suspension,112,sconres,50,Yea
passage-suspension,112,s,3193,Not Voting
passage-suspension,112,hr,915,Yea
passage-suspension,112,s,2009,Yea
passage,112,hr,4310,Yea
passage-suspension,112,hres,516,Yea
passage,112,hres,821,Yea
passage-suspension,112,hr,6504,Nay
passage-suspension,112,hr,4606,Not Voting
passage-suspension,112,hr,6602,Yea
passage-suspension,112,hr,4201,Yea
passage-suspension,112,hres,568,Yea
passage,112,hres,708,Yea
passage-suspension,112,hr,4005,Yea
passage-suspension,112,hr,365,Not Voting
passage-suspension,112,hr,1845,Yea
passage-suspension,112,hr,6672,Yea
passage,112,hres,844,Yea
passage-suspension,112,hr,4155,Yea
passage-suspension,112,hr,2362,Yea
passage-suspension,112,hr,443,Yea
passage-suspension,112,s,3202,Yea
passage-suspension,112,s,3642,Yea
passage-suspension,112,hr,4119,Yea
passage-suspension,112,hr,4251,Yea
passage-suspension,112,hr,3874,Yea
passage-suspension,112,hres,668,Yea
passage-suspension,112,hr,6371,Yea
passage-suspension,112,hr,5651,Yea
passage-suspension,112,hr,4057,Yea
passage-suspension,112,hr,4367,Yea
passage,112,hr,5856,Yea
passage-suspension,112,hr,5892,Yea
passage-suspension,112,hr,2079,Yea
passage,112,hr,5855,Yea
passage,112,hr,5882,Yea
passage-suspension,112,s,684,Yea
passage-suspension,112,hr,3336,Yea
passage-suspension,112,hr,886,Yea
passage-suspension,112,hr,2779,Yea
passage,112,hres,788,Yea
passage-suspension,112,hr,1775,Yea
passage-suspension,112,hr,3992,Yea
passage-suspension,112,hr,5912,Yea
passage,112,hres,539,Yea
passage-suspension,112,hr,1038,Yea
passage-suspension,112,hr,4105,Nay
passage-suspension,112,hr,3248,Yea
passage-suspension,112,hr,3247,Yea
passage-suspension,112,hr,2682,Yea
passage-suspension,112,s,3245,Yea
passage,112,hres,779,Yea
passage,112,hjres,118,Yea
passage-suspension,112,hr,519,Yea
passage-suspension,112,hr,2417,Yea
passage-suspension,112,hr,1657,Yea
passage,112,hres,347,Yea
passage-suspension,112,hr,514,Yea
passage-suspension,112,hres,49,Yea
passage,112,hres,115,Yea
passage,112,hres,93,Yea
passage,112,hres,128,Yea
passage-suspension,112,hr,570,Not Voting
passage-suspension,112,hr,525,Not Voting
passage,112,hres,38,Yea
passage-suspension,112,s,188,Yea
passage,112,hres,79,Yea
passage,112,hres,9,Yea
passage,112,hres,294,Yea
passage,112,hconres,34,Yea
passage,112,hres,359,Yea
passage,112,hres,358,Yea
passage,112,hconres,35,Yea
passage,112,hres,300,Yea
passage,112,hr,674,Yea
passage-suspension,112,hr,2527,Yea
passage-suspension,112,hr,1933,Yea
passage,112,hconres,36,Yea
passage,112,hr,2055,Yea
passage,112,hr,910,Yea
passage,112,hr,1363,Yea
passage,112,hres,292,Yea
passage-suspension,112,hr,1423,Yea
passage-suspension,112,hr,2715,Yea
passage-suspension,112,hr,398,Yea
passage-suspension,112,hr,1975,Yea
passage,112,hr,2576,Yea
passage-suspension,112,hr,1246,Yea
passage,112,hres,375,Yea
passage,112,hres,186,Yea
passage-suspension,112,hr,3321,Yea
passage-suspension,112,hr,298,Yea
passage-suspension,112,hr,1632,Yea
passage-suspension,112,hr,2076,Yea
passage-suspension,112,hr,33,Yea
passage-suspension,112,hr,674,Yea
passage-suspension,112,hr,2471,Yea
passage,112,hres,363,Yea
passage-suspension,112,hr,1308,Yea
passage-suspension,112,hr,1801,Yea
passage,112,hr,1363,Nay
passage,112,hres,370,Yea
passage,112,hres,328,Yea
passage-suspension,112,hr,672,Yea
passage-suspension,112,hr,320,Yea
passage,112,hr,2112,Yea
passage-suspension,112,hr,2422,Yea
passage-suspension,112,hr,771,Yea
passage-suspension,112,hr,2480,Yea
passage,112,hres,455,Yea
passage-suspension,112,hr,872,Yea
passage-suspension,112,s,1412,Yea
passage,112,hres,479,Yea
passage-suspension,112,s,307,Yea
passage-suspension,112,hr,1383,Yea
passage,112,hres,466,Yea
passage,112,hr,2354,Yea
passage,112,hres,430,Yea
passage-suspension,112,hr,1905,Yea
passage-suspension,112,hr,765,Yea
passage-suspension,112,hr,670,Yea
passage,112,hres,502,Yea
passage,112,hconres,94,Yea
passage-suspension,112,sconres,28,Yea
passage-suspension,112,hr,394,Yea
passage,112,hres,167,Yea
passage,112,hr,2608,Yea
passage,112,hres,276,Not Voting
passage,112,hres,412,Yea
passage,112,hr,2608,Nay
passage,112,hconres,50,Yea
passage-suspension,112,hr,2105,Yea
passage-suspension,112,hr,686,Yea
passage-suspension,112,s,846,Yea
passage-suspension,112,hr,347,Yea
passage-suspension,112,hr,2883,Nay
passage-suspension,112,hconres,27,Yea
passage,112,hr,514,Yea
passage,112,hr,3672,Yea
passage-suspension,112,hres,268,Yea
passage,112,hres,405,Yea
passage,112,hr,2587,Yea
passage,112,hr,1,Yea
passage-suspension,112,hr,1383,Yea
passage,112,hres,500,Yea
passage,112,hr,359,Yea
passage,112,hres,372,Yea
passage-suspension,112,hr,368,Yea
passage,112,hres,129,Yea
passage,112,hres,340,Yea
passage-suspension,112,hr,1059,Yea
passage-suspension,112,hr,1264,Yea
passage-suspension,112,hr,1892,Yea
passage-suspension,112,hr,292,Yea
passage-suspension,112,hr,1627,Yea
passage-suspension,112,hr,2633,Yea
passage,112,hr,2219,Yea
passage,112,hconres,28,Nay
passage-suspension,112,hr,2867,Yea
passage,112,hres,5,Yea
passage-suspension,112,hconres,13,Yea
passage,112,hres,200,Yea
passage-suspension,112,hres,22,Yea
passage-suspension,112,hr,1070,Yea
passage,112,hres,383,Yea
passage,112,hres,382,Yea
passage-suspension,112,hr,2061,Yea
passage,112,hres,463,Yea
passage,112,hres,384,Yea
passage-suspension,112,hr,440,Yea
passage-suspension,112,hr,1965,Yea
passage-suspension,112,hr,2244,Yea
passage-suspension,112,hr,1843,Yea
passage-suspension,112,s,1280,Yea
passage,112,hres,237,Yea
passage,112,hr,2551,Yea
passage,112,hconres,51,Yea
passage-suspension,112,hres,364,Yea
passage,112,hr,2112,Nay
passage,112,hres,223,Yea
passage-suspension,112,hr,2192,Yea
passage,112,hr,1473,Nay
passage,112,hres,470,Yea
passage,112,hres,444,Yea
passage-suspension,112,hr,2447,Yea
passage,112,hconres,43,Yea
passage-suspension,112,hjres,2,Yea
passage-suspension,112,hr,3012,Yea
passage,112,hres,467,Yea
passage,112,hres,219,Yea
passage,112,hr,2017,Yea
passage,112,hres,218,Yea
passage-suspension,112,s,349,Yea
passage-suspension,112,hr,1160,Yea
passage,112,hres,189,Yea
passage-suspension,112,hconres,67,Not Voting
passage,112,hr,2055,Nay
passage-suspension,112,hr,2646,Yea
passage-suspension,112,hr,2189,Yea
passage-suspension,112,hr,1484,Yea
passage-suspension,112,hr,802,Yea
passage-suspension,112,hr,1954,Nay
passage,112,hconres,30,Yea
passage,112,hres,409,Yea
passage,112,hr,3079,Yea
passage,112,hres,425,Yea
passage-suspension,112,hr,2433,Yea
passage,112,hres,92,Yea
passage-suspension,112,s,1082,Yea
passage,112,hres,501,Yea
passage-suspension,112,hr,793,Yea
passage,112,hres,170,Yea
passage-suspension,112,hr,2944,Yea
passage,112,s,990,Yea
passage,112,hr,2018,Yea
passage-suspension,112,hr,2158,Yea
passage,112,hres,419,Yea
passage,112,hres,264,Yea
passage-suspension,112,hr,3220,Yea
passage,112,hr,2832,Nay
passage,112,hres,73,Yea
passage,112,hr,3080,Yea
passage,113,s,954,Nay
passage,113,sres,16,Nay
passage,113,hr,152,Nay
passage,113,sconres,8,Nay
passage,113,s,815,Nay
passage,113,hr,527,Yea
passage,113,hjres,59,Nay
passage,113,hr,2775,Nay
passage,113,hr,933,Nay
passage,113,s,744,Nay
passage,113,s,47,Nay
passage,113,hr,325,Nay
passage,113,sres,65,Yea
passage,113,sres,15,Nay
passage,113,s,601,Nay
passage,113,hr,1911,Yea
passage,113,s,743,Nay
passage,113,hjres,59,Nay
passage,113,hr,3304,Yea
passage,113,sconres,28,Nay
passage,113,s,540,Nay
passage,113,hr,4302,Nay
passage,113,hr,3230,Yea
passage,113,s,25,Yea
passage,113,hr,3979,Yea
passage,113,s,2280,Yea
passage,113,hr,83,Nay
passage,113,s,1926,Yea
passage,113,hr,2642,Nay
passage,113,hr,5771,Nay
passage,113,hjres,106,Nay
passage,113,s,1917,Yea
passage,113,hr,3230,Yea
passage,113,s,2244,Yea
passage,113,hr,5021,Nay
passage,113,hjres,124,Yea
passage,113,hr,803,Yea
passage,113,s,1086,Yea
passage,113,hr,3547,Nay
passage,113,hr,3370,Yea
passage,113,hr,3979,Nay
passage,113,s,1086,Yea
passage,113,hr,3080,Yea
passage,114,sjres,8,Yea
passage,114,hr,1191,Yea
passage,114,hr,26,Yea
passage,114,hr,203,Yea
passage,114,hr,2,Nay
veto-override,114,s,1,Yea
passage,114,sconres,16,Yea
passage,114,hr,3236,Yea
passage,114,hr,1314,Nay
passage,114,hr,22,Nay
passage,114,hr,719,Nay
passage,114,hr,2146,Yea
passage,114,sconres,11,Yea
passage,114,sjres,23,Yea
passage,114,hr,22,Nay
passage,114,hr,1314,Yea
passage,114,sjres,24,Yea
passage,114,hr,2029,Nay
passage,114,s,1356,Yea
passage,114,hr,644,Yea
passage,114,s,295,Yea
passage,114,hr,3762,Yea
passage,114,hr,1295,Yea
passage,114,sconres,11,Yea
passage,114,hr,240,Nay
passage,114,s,754,Yea
passage,114,sjres,22,Yea
passage,114,hr,2048,Yea
passage,114,hr,1735,Not Voting
passage,114,hr,1735,Yea
passage,114,s,1177,Nay
passage,114,s,1,Yea
passage,114,s,1177,Nay
passage,114,hr,2029,Yea
passage,114,s,178,Yea
passage,114,s,524,Yea
passage,114,s,2328,Nay
passage,114,s,524,Yea
passage,114,hr,636,Yea
passage,114,hr,5985,Not Voting
passage,114,hr,34,Yea
passage,114,hr,2028,Yea
passage,114,s,2943,Yea
passage,114,sjres,28,Nay
passage,114,sres,374,Yea
passage,114,hr,5325,Nay
passage,114,hr,757,Yea
veto-override,114,s,2040,Yea
passage,114,s,2848,Yea
passage,114,s,1890,Yea
passage,114,s,764,Yea
passage,114,s,2012,Nay
passage,114,s,2943,Yea
passage,114,sres,377,Yea
passage,114,hr,644,Yea
passage,114,s,2873,Yea
passage,114,hr,636,Yea
passage,114,hr,2028,Yea
passage,114,hr,2577,Yea
passage,114,s,612,Yea
passage,114,s,2613,Yea
passage,114,hjres,88,Yea
passage,114,hr,4511,Yea
passage,114,hr,6297,Yea
passage,115,hr,1,Yea
passage,115,hjres,66,Yea
passage,115,hjres,83,Yea
passage,115,hr,2430,Yea
passage,115,sjres,34,Yea
passage,115,hjres,41,Yea
passage,115,hr,244,Nay
passage,115,hr,1370,Yea
passage,115,hr,3364,Yea
passage,115,hjres,40,Yea
passage,115,hjres,69,Yea
passage,115,hconres,71,Yea
passage,115,hjres,38,Yea
passage,115,hjres,37,Yea
passage,115,hr,601,Yea
passage,115,sconres,3,Yea
passage,115,hr,72,Yea
passage,115,hjres,42,Yea
passage,115,s,89,Yea
passage,115,s,84,Yea
passage,115,hjres,67,Yea
passage,115,hjres,123,Yea
passage,115,s,722,Yea
passage,115,hr,2266,Yea
passage,115,hr,1,Yea
passage,115,sres,176,Yea
passage,115,hjres,44,Yea
passage,115,hjres,58,Yea
passage,115,hjres,57,Yea
passage,115,hr,2810,Yea
passage,115,s,1182,Yea
passage,115,hr,1865,Yea
passage,115,hr,6147,Yea
passage,115,hr,5515,Yea
passage,115,hr,2,Yea
passage,115,hr,5515,Yea
passage,115,sjres,54,Nay
passage,115,hr,2,Yea
passage,115,sjres,64,Nay
passage,115,hr,302,Yea
passage,115,sjres,63,Nay
passage,115,hr,6,Yea
passage,115,hr,6,Yea
passage,115,hr,195,Yea
passage,115,hr,6157,Yea
